Title,Interviewed,Uploader,Link,Date Added
"Japanese designer Oki Sato on his playful approach to design",Oki Sato,British GQ,https://www.youtube.com/watch?v=c3TPbj2_Xjg&t=12s,2021-03-21
"Y Combinator's Graham Says Startups Must Improve Lives",Paul Graham,Bloomberg Quicktake,https://www.youtube.com/watch?v=2lcp0uZsY7k,2021-03-11
"Jamie Dimon, Chairman, President, and CEO of JPMorgan Chase",Jamie Dimon,Stanford Graduate School of Business,https://www.youtube.com/watch?v=IyEadGANbgM,2021-03-11
"Gustaf Alströmer - Growth for Startups",Gustaf Alströmer,Y Combinator,https://www.youtube.com/watch?v=6lY9CYIY4pQ,2021-02-27
"Alibaba IPO: Jack Ma's Original Sales Pitch in 1999",Jack Ma,Bloomberg Quicktake,https://www.youtube.com/watch?v=Up9-C4_8dVo,2021-02-24
"Baidu's COO, Qi Lu Discusses AI with Daniel Gross",Qi Lu,Y Combinator,https://www.youtube.com/watch?v=WSydk0XzxEE,2021-02-23
"Sequoia's Neil Shen to Entrepreneurs: Follow Your Heart",Neil Shen,Stanford Graduate School of Business,https://www.youtube.com/watch?v=f0dZ75L9I9M,2021-02-23
